Commit ID,Repo Name,File Path,Deleted Lines,Added Lines
8f7e7422235beeccafd5fba4ec9eb2a6d2b7c112,naftulikay/ansible-role-degoss,meta/main.yml,"        - 5
        - 6
    - name: Fedora
      versions:
        - 23
        - 24
        - 25
        - yakkety",
61c9bfaf749c8a4564d527a1eda151dc984f1d5a,naftulikay/ansible-role-degoss,tasks/main.yml,"  goss: executable={{ degoss_goss_bin }} path=""{{ goss_file }}"" format=""{{ goss_output_format }}""","  goss:
    executable: ""{{ degoss_goss_bin }}""
    path: ""{{ goss_file }}""
    format: ""{{ goss_output_format }}""
    env_vars: ""{{ goss_env_vars }}"""
89f47e4c444f5920d148cfc2c98a35b154bce888,naftulikay/ansible-role-degoss,tasks/main.yml,  when: goss_output.goss_failed,"  when: goss_output.get('goss_failed', true)"
d43974a94060139fa2db1e822a67e15fbdf226df,naftulikay/ansible-role-degoss,tasks/main.yml,"  when: goss_output.get('goss_failed', true)","- name: emit debugging output
  debug:
    msg: ""output info: {{ goss_output | to_nice_json }}""
  when: degoss_dump_output is defined

  when: goss_output.get('goss_failed')"
c2e2cba52de214008283a47d6625e6331df84f87,naftulikay/ansible-role-degoss,meta/main.yml,,"  name: degoss
  src: naftulikay.degoss
  version: v1.3.0"
69cd34ba27efa0b3db5fbc7dee3ad4fd1499dc8f,naftulikay/ansible-role-degoss,meta/main.yml,  version: v1.3.0,  version: v1.3.1
88703e5143fc7a0c117179d74bc6f2b5f8ba53c3,naftulikay/ansible-role-degoss,tasks/main.yml,"# set play facts
- name: establish download url
  set_fact:
    goss_download_url: ""{{ goss_github_repo_url }}/releases/download/v{{ goss_real_version }}/goss-linux-amd64""

    dest: ""{{ degoss_goss_bin }}-{{ goss_real_version }}""
  copy: src={{ item }} dest={{ degoss_test_root }}
  when: degoss_no_clean is undefined and not (degoss_no_clean|bool)
  fail: msg=""Goss Tests Failed.""","- name: create workdir
  command: mktemp -d /tmp/degoss.XXXXXXXXXX
  register: workdir

# set play facts
- name: establish facts
  set_fact:
    degoss_tmp_root: ""{{ workdir.stdout.strip() }}""
    degoss_test_root: ""{{ workdir.stdout.strip() }}/tests""
    degoss_goss_install_dir: ""{{ workdir.stdout.strip() }}/bin""
    degoss_goss_bin: ""{{ workdir.stdout.strip() }}/bin/goss""
    degoss_changed_when: ""not (degoss_idempotent | bool)""

# switch to pinned vs latest
    dest: ""{{ degoss_goss_bin }}-{{ item }}""
  with_items:
    - ""{{ goss_real_version }}""
  copy: src={{ item }} dest={{ degoss_test_root }} mode=0644 directory_mode=0755 setype=user_tmp_t
  when: degoss_clean | bool
  fail:
    msg: |-
      Goss Tests Failed: {{ goss_output.get('stdout').strip() }}"""
f1dcf16def239718896cbdf9b34040f16da66736,naftulikay/ansible-role-degoss,tasks/main.yml,"  fail:
    msg: |-
      Goss Tests Failed: {{ goss_output.get('stdout').strip() }}""","    cwd: ""{{ degoss_test_root }}""
  fail: msg=""Goss Tests Failed."""
406e0f403b3371862311de4f7122a3ed14b1e933,naftulikay/ansible-role-degoss,meta/main.yml,  version: v1.3.1,  version: v1.4.0
406e0f403b3371862311de4f7122a3ed14b1e933,naftulikay/ansible-role-degoss,tasks/versions/pinned.yml,,  changed_when: degoss_changed_when
